               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.021344,           0.0086728,          0.00028559,              0.9544,              0.9548,             0.97423,             0.74192,            0.020244,           0.0037329,          0.00017946,            0.003763,            0.003763,            0.003763
                 128,            0.021356,           0.0086262,          0.00029036,             0.95725,             0.95201,             0.97423,              0.7417,            0.020226,           0.0037339,          0.00017911,           0.0037135,           0.0037135,           0.0037135
                 129,            0.021486,           0.0088651,          0.00035724,              0.9596,             0.95107,             0.97497,             0.74176,            0.020209,            0.003734,          0.00017913,            0.003664,            0.003664,            0.003664
                 130,            0.021239,            0.008542,          0.00022991,             0.96011,             0.95112,             0.97449,             0.74183,              0.0202,           0.0037336,          0.00017836,           0.0036145,           0.0036145,           0.0036145
                 131,            0.021103,           0.0086479,          0.00026893,             0.95803,             0.95202,             0.97434,             0.74193,            0.020194,           0.0037345,          0.00017684,            0.003565,            0.003565,            0.003565
                 132,            0.021348,           0.0085762,          0.00026404,             0.95808,             0.95215,             0.97437,             0.74151,            0.020179,           0.0037354,          0.00017697,           0.0035155,           0.0035155,           0.0035155
                 133,              0.0211,           0.0085276,          0.00025508,             0.95817,             0.95186,             0.97431,              0.7421,            0.020167,           0.0037361,          0.00017803,            0.003466,            0.003466,            0.003466
                 134,            0.020978,           0.0085193,          0.00029957,             0.95826,             0.95229,             0.97433,             0.74283,            0.020156,           0.0037361,          0.00017691,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020769,           0.0085418,          0.00025998,             0.95851,             0.95305,             0.97498,             0.74375,            0.020143,           0.0037363,           0.0001754,            0.003367,            0.003367,            0.003367
                 136,            0.021209,           0.0085453,          0.00029425,             0.95842,             0.95065,             0.97379,             0.74323,            0.020137,           0.0037369,          0.00017379,           0.0033175,           0.0033175,           0.0033175
